case,scan_lines,iterations,threshold,center_mode,order_mode,refinement_selection,fallback_mode,scf_method,scf_score_mode,scf_tolerance,ieps_points,ieps_accuracy,neighbor_mean,neighbor_std,precision,recall,f1,target_reached_segments,total_segments,ieps_ms,scf_ms,total_ms,canny_precision,canny_recall,canny_f1
bug_center_raw,4,3,64.0,raw,topological,farthest_from_center,max_gradient,greedy,gradient_distance2,2.0,32,0.78125,19.130419924237017,5.1686104053561035,0.6993464052287581,0.5619946091644205,0.6231921505639163,32,32,6.021523000072193,2.138765999916359,8.160288999988552,1.0,1.0,1.0
bug_center_contrast,4,3,64.0,contrast,topological,farthest_from_center,max_gradient,greedy,gradient_distance2,2.0,32,0.78125,19.296039991075958,5.604715930606783,0.6938286399041342,0.5498652291105122,0.6135147137881869,32,32,4.583242000080645,2.0971439998902497,6.680385999970895,1.0,1.0,1.0
bug_center_binary,4,3,64.0,binary,topological,farthest_from_center,max_gradient,greedy,gradient_distance2,2.0,32,0.78125,19.296039991075958,5.604715930606783,0.6938286399041342,0.5498652291105122,0.6135147137881869,32,32,5.246238999916386,2.2639700000581797,7.510208999974566,1.0,1.0,1.0
bug_order_topological_farthest_from_center,4,3,64.0,contrast,topological,farthest_from_center,max_gradient,greedy,gradient_distance2,2.0,32,0.78125,19.296039991075958,5.604715930606783,0.6938286399041342,0.5498652291105122,0.6135147137881869,32,32,5.804954000268481,2.8489729998000257,8.653927000068506,1.0,1.0,1.0
bug_order_topological_max_gradient,4,3,64.0,contrast,topological,max_gradient,max_gradient,greedy,gradient_distance2,2.0,32,0.40625,28.170418784311224,1.8848091459151526,0.4030266825965751,0.4871967654986523,0.4411326091013038,32,32,5.2600899998651585,3.6044379999111698,8.864527999776328,1.0,1.0,1.0
bug_order_angle_farthest_from_center,4,3,64.0,contrast,angle,farthest_from_center,max_gradient,greedy,gradient_distance2,2.0,32,0.78125,19.296039991075958,5.604715930606783,0.6938286399041342,0.5498652291105122,0.6135147137881869,32,32,6.139867999991111,82.6184069996998,88.75827499969091,1.0,1.0,1.0
bug_order_angle_max_gradient,4,3,64.0,contrast,angle,max_gradient,max_gradient,greedy,gradient_distance2,2.0,30,0.7,29.735913329840418,16.507840312213848,0.6295996765062677,0.6785714285714286,0.6531689169049381,30,30,5.669064000358048,4.283269000097789,9.952333000455837,1.0,1.0,1.0
bug_scf_score_gradient_distance2,4,3,64.0,contrast,topological,farthest_from_center,max_gradient,greedy,gradient_distance2,2.0,32,0.78125,19.296039991075958,5.604715930606783,0.6938286399041342,0.5498652291105122,0.6135147137881869,32,32,7.169817999965744,2.8977550000490737,10.067573000014818,1.0,1.0,1.0
bug_scf_score_gradient_only,4,3,64.0,contrast,topological,farthest_from_center,max_gradient,greedy,gradient_only,2.0,32,0.78125,19.296039991075958,5.604715930606783,0.6949253731343283,0.5498652291105122,0.6139430982594397,32,32,4.774883999743906,1.8514610001147958,6.626344999858702,1.0,1.0,1.0
fix_graph_search_scf,4,3,64.0,contrast,topological,farthest_from_center,max_gradient,graph,gradient_distance2,2.0,32,0.78125,19.296039991075958,5.604715930606783,0.6944278010784901,0.5498652291105122,0.6137488399862421,32,32,6.6813469998123765,392.2730690001117,398.9544159999241,1.0,1.0,1.0
